tld,url,2008,2016,2020,depth,fromedgi
epa.gov,http://www.epa.gov:80/foia,20080821160517,20160104002917,20200101035956,high,TRUE
epa.gov,http://www.epa.gov:80/greatlakes/,20080115023022,20160101014315,20200101011128,high,TRUE
epa.gov,http://www.epa.gov:80/greenchemistry/,20080521194206,20160130072126,20200101034800,high,TRUE
epa.gov,http://www.epa.gov:80/greenpower,20080430164606,20160109041938,20200105172315,high,TRUE
epa.gov,http://www.epa.gov:80/hudson,20080515130644,20160119221335,20200125232103,high,TRUE
epa.gov,http://www.epa.gov:80/hudson/faqs.htm,20080820220051,20160124225307,20200114233743,high,TRUE
epa.gov,http://www.epa.gov:80/hudson/rod.htm,20080724155219,20160216053739,20200921082708,high,TRUE
epa.gov,http://www.epa.gov:80/icr/,20080515191412,20160413063701,20200329154250,high,TRUE
epa.gov,http://www.epa.gov:80/innovation/,20080725192724,20160104160216,20200101152313,high,TRUE
epa.gov,http://www.epa.gov:80/iris,20080517000746,20160101232815,20200101005653,high,TRUE
epa.gov,http://www.epa.gov:80/irmpoli8/,20081019173432,20160413193705,20200330211138,high,TRUE
epa.gov,http://www.epa.gov:80/lead,20080723145954,20160101073545,20200102170715,high,TRUE
epa.gov,http://www.epa.gov/lean/,20081019161948,20160115183759,20200125042928,high,TRUE
epa.gov,http://www.epa.gov:80/mercury/,20080201011223,20160101044556,20200101034807,high,TRUE
epa.gov,http://www.epa.gov:80/mold/,20080921083533,20160101232624,20200101021214,high,TRUE
epa.gov,http://www.epa.gov:80/ne/,20080516053757,20160101205946,20200101185703,high,TRUE
epa.gov,http://www.epa.gov:80/newsroom,20080919230056,20160112134726,20200101061505,high,TRUE
epa.gov,http://www.epa.gov/newsroom/gogreen/,20080709011754,20160103014354,20200101043951,high,TRUE
epa.gov,http://www.epa.gov/npdes/vessels,20081208221338,20160514180710,20200102045429,high,TRUE
epa.gov,http://www.epa.gov:80/nscep/,20080920014251,20160109132551,20200101035229,high,TRUE
epa.gov,http://www.epa.gov:80/nsr,20080520110839,20160113124651,20200102172318,high,TRUE
epa.gov,http://www.epa.gov:80/ocir,20080725195546,20160114152807,20200101043734,high,TRUE
epa.gov,http://www.epa.gov:80/osa/,20080709035026,20160122203334,20200101060309,high,TRUE
epa.gov,http://www.epa.gov:80/P3,20080516080014,20160102011901,20200101044430,high,TRUE
